id,title,author,isbn,year,publisher,pages,language,description,rating,category_name,purchase_date,purchase_price,purchase_store,date_added
1,To Kill a Mockingbird,Harper Lee,978-0061120084,1960,Harper Perennial Modern Classics,336,English,"A gripping tale of racial injustice and childhood innocence in the American South. Through the eyes of Scout Finch, we witness her father Atticus defending a black man wrongly accused of a crime.",5,Fiction,2024-01-15,14.99,Amazon,2024-01-15
2,1984,George Orwell,978-0451524935,1949,Signet Classic,328,English,"A dystopian social science fiction novel that follows Winston Smith, a member of the Outer Party who works for the Ministry of Truth. The novel explores themes of totalitarianism and surveillance.",5,Fiction,2024-02-01,13.49,Barnes & Noble,2024-02-01
3,The Great Gatsby,F. Scott Fitzgerald,978-0743273565,1925,Scribner,180,English,"Set in the Jazz Age on Long Island, the novel chronicles narrator Nick Carraway's interactions with the mysterious millionaire Jay Gatsby and Gatsby's obsession with reuniting with his former lover, Daisy Buchanan.",4,Fiction,2024-01-20,12.99,Local Bookstore,2024-01-20
4,Pride and Prejudice,Jane Austen,978-0141439518,1813,Penguin Classics,480,English,"A romantic novel that charts the emotional development of Elizabeth Bennet, who learns the error of making hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",5,Fiction,2023-12-10,11.99,Amazon,2023-12-10
5,The Hobbit,J.R.R. Tolkien,978-0547928227,1937,Mariner Books,300,English,"Bilbo Baggins enjoys a comfortable life until the wizard Gandalf and thirteen dwarves arrive to take him on an adventure to reclaim their treasure from the dragon Smaug. A timeless fantasy classic.",5,Fiction,2024-01-05,15.99,Target,2024-01-05
6,Harry Potter and the Sorcerer's Stone,J.K. Rowling,978-0590353427,1997,Scholastic,309,English,"The first novel in the Harry Potter series follows young wizard Harry Potter as he discovers his magical heritage and attends Hogwarts School of Witchcraft and Wizardry.",5,Children,2024-02-14,10.99,Amazon,2024-02-14
7,The Catcher in the Rye,J.D. Salinger,978-0316769488,1951,Little Brown and Company,277,English,"The story of Holden Caulfield, a teenager who has been expelled from prep school. The novel explores themes of alienation and the phoniness of the adult world.",4,Fiction,2024-01-25,13.99,Barnes & Noble,2024-01-25
8,Sapiens: A Brief History of Humankind,Yuval Noah Harari,978-0062316110,2011,Harper Perennial,464,English,"A thought-provoking exploration of human history from the Stone Age to the modern age, examining how Homo sapiens came to dominate the world.",5,Non-Fiction,2024-02-20,16.99,Amazon,2024-02-20
9,Educated,Tara Westover,978-0399590504,2018,Random House,334,English,"A memoir about a young woman who grows up in a strict and abusive household in rural Idaho but eventually escapes to learn about the wider world through education.",5,Biography,2024-03-01,15.99,Costco,2024-03-01
10,The Selfish Gene,Richard Dawkins,978-0199291151,1976,Oxford University Press,360,English,"A groundbreaking work that popularized the gene-centered view of evolution. Dawkins uses the gene as the principal unit of selection in evolution.",4,Science,2024-02-10,14.49,Amazon,2024-02-10
11,Becoming,Michelle Obama,978-1524763138,2018,Crown,448,English,"The intimate memoir of the former First Lady of the United States, chronicling her experiences from childhood through her years in the White House.",5,Biography,2024-01-18,19.99,Barnes & Noble,2024-01-18
12,Steve Jobs,Walter Isaacson,978-1451648539,2011,Simon & Schuster,656,English,"The exclusive biography of Steve Jobs, based on more than forty interviews with Jobs conducted over two years. The book chronicles his life from childhood to his final days.",4,Biography,2024-02-05,17.99,Amazon,2024-02-05
13,Atomic Habits,James Clear,978-0735211292,2018,Avery,320,English,"An easy and proven way to build good habits and break bad ones. Clear provides a practical guide based on the latest scientific research on habit formation.",5,Self-Help,2024-03-10,16.49,Target,2024-03-10
14,The 7 Habits of Highly Effective People,Stephen R. Covey,978-1982137274,1989,Simon & Schuster,381,English,"A holistic approach to personal and interpersonal effectiveness. Covey presents a principle-centered approach for solving personal and professional problems.",4,Self-Help,2024-01-12,15.99,Amazon,2024-01-12
15,The Lean Startup,Eric Ries,978-0307887894,2011,Currency,336,English,"A new approach to business that's being adopted around the world. It favors experimentation over planning and customer feedback over intuition.",4,Technology,2024-02-28,14.99,Amazon,2024-02-28
16,Clean Code,Robert C. Martin,978-0132350884,2008,Prentice Hall,464,English,"Even bad code can function. But if code isn't clean it can bring a development organization to its knees. This book teaches the craft of writing clean code.",5,Technology,2024-03-05,42.99,Amazon,2024-03-05
17,Thinking Fast and Slow,Daniel Kahneman,978-0374533557,2011,Farrar Straus and Giroux,499,English,"A groundbreaking tour of the mind explaining the two systems that drive the way we think: System 1 is fast and emotional; System 2 is slower and more logical.",5,Non-Fiction,2024-02-15,17.99,Barnes & Noble,2024-02-15
18,The Art of War,Sun Tzu,978-1599869773,400 BC,Pax Librorum Publishing House,96,English,"An ancient Chinese military treatise that has been applied to business and management strategies. It emphasizes the importance of positioning in military strategy.",4,History,2024-01-08,8.99,Amazon,2024-01-08
19,A Brief History of Time,Stephen Hawking,978-0553380163,1988,Bantam,256,English,"From the Big Bang to black holes, Hawking guides readers through the complex theories of cosmology in an accessible way.",4,Science,2024-02-22,18.99,Barnes & Noble,2024-02-22
20,The Power of Now,Eckhart Tolle,978-1577314806,1997,New World Library,236,English,"A guide to spiritual enlightenment that teaches readers how to live in the present moment and free themselves from anxiety and stress.",4,Self-Help,2024-01-30,14.99,Amazon,2024-01-30
21,Dune,Frank Herbert,978-0441172719,1965,Ace,688,English,"Set in the distant future amidst a huge interstellar empire, the novel tells the story of young Paul Atreides whose family accepts control of the desert planet Arrakis.",5,Fiction,2024-03-15,17.99,Local Bookstore,2024-03-15
22,The Lord of the Rings,J.R.R. Tolkien,978-0544003415,1954,Mariner Books,1216,English,"An epic high-fantasy novel following the quest to destroy the One Ring. The story follows hobbit Frodo Baggins as he and the Fellowship embark on a quest to destroy the Ring.",5,Fiction,2024-01-22,24.99,Amazon,2024-01-22
23,The Alchemist,Paulo Coelho,978-0062315007,1988,HarperOne,208,English,"A novel about following your dreams. It tells the story of Santiago, an Andalusian shepherd boy who travels from Spain to Egypt in search of treasure.",4,Fiction,2024-02-08,14.99,Target,2024-02-08
24,The Diary of a Young Girl,Anne Frank,978-0553296983,1947,Bantam,283,English,"The diary kept by Anne Frank while she was in hiding for two years with her family during the Nazi occupation of the Netherlands.",5,Biography,2024-01-28,12.99,Barnes & Noble,2024-01-28
25,Man's Search for Meaning,Viktor E. Frankl,978-0807014295,1946,Beacon Press,184,English,"A psychiatrist's memoir of life in Nazi death camps and its lessons for spiritual survival. Frankl argues that we cannot avoid suffering but we can choose how to cope with it.",5,Non-Fiction,2024-02-12,13.99,Amazon,2024-02-12
26,The Chronicles of Narnia,C.S. Lewis,978-0066238500,1950,HarperCollins,767,English,"A series of seven fantasy novels that tells the story of children who play central roles in the unfolding history of the Narnian world.",5,Children,2024-03-08,19.99,Amazon,2024-03-08
27,Good to Great,Jim Collins,978-0066620992,2001,HarperBusiness,320,English,"A management book examining how companies transition from being good companies to great companies and how most companies fail to make the transition.",4,Technology,2024-02-18,18.99,Barnes & Noble,2024-02-18
28,The Hitchhiker's Guide to the Galaxy,Douglas Adams,978-0345391803,1979,Del Rey,224,English,"A comic science fiction series following the adventures of Arthur Dent, the last surviving man following Earth's destruction by Vogons.",5,Fiction,2024-03-12,14.49,Amazon,2024-03-12
29,Brave New World,Aldous Huxley,978-0060850524,1932,Harper Perennial Modern Classics,268,English,"A dystopian novel set in a futuristic World State of genetically modified citizens and an intelligence-based social hierarchy.",4,Fiction,2024-02-25,13.99,Local Bookstore,2024-02-25
30,The Little Prince,Antoine de Saint-Exupéry,978-0156012195,1943,Mariner Books,96,English,"A novella about a young prince who visits various planets in space including Earth. The story explores themes of loneliness, friendship, love, and loss.",5,Children,2024-01-16,12.99,Amazon,2024-01-16
